index,study_id,id,author,year,group,group_id,group_desc,url,country,region,city,time_MAX,time_50,time_MIN,detailed_time,exp_dur,fu_dur,age_base,age_SD,days_ps,days_cat,yrs_ps,stroke_type,nihss_base,mmse_base,mMmse_base,fim_base,brunstrom_base,frenchay_base,fac_base,barthel_base,mBarthel_base,motricity_base,BBS_base,BBT_base,gcs_base,MAS_base,sis_base,rivermead_base,ashworth_base,mAshworth_base,rankin_base,bdi_base,cesd_base,ops_base,terminal_dropout,outcome_name,outcome_extremity,ue_subscale,le_subscale,SCOAR_outcome,p_outcome_stated,itt_analysis,base_n,base_m,base_sd,difference_score,term_n,term_m,term_sd,diff_base,diff_term,fu_n,fu_m,fu_sd,est_corr,term_diff,term_s_diff,fu_diff,fu_s_diff,term_d,fu_d,j_corr_factor,term_g,fu_g,term_Vd,fu_Vd,term_Vg,fu_Vg,chck2,notes,therapy_bucket,norm_rescale_factor,norm_rescaled,transcription_corrected,row_score,fam_pref,sigma_F_imputed,term_g_used,term_g_derived,final_scale,unit_role,exclusion_reason,implied_dist_m,age_sd_imputed,dose_imputed,pooled_sd_metadata
447,128,park2011,park,2011,exp,286,routine PT + community ambulation training,http://www.ncbi.nlm.nih.gov/pubmed/21245205,south korea,,daejeon,32.0,32.0,32.0,1.0,28.0,,59.4,8.46,843.0,>1year,2.309589041,1,,>25,,,,,,,,,,,,,,,,,,,,,1.0,10mwt,le,,speed,lohse,0.0,0.0,14,0.51,0.18,,13.0,0.72,0.24,,,,,,0.5,0.21,0.21094075,,0.18,0.995540217,,0.941176471,0.936979028,,0.106825012,,0.094627,,,,Other / unclassified,1.0,False,False,7,3,False,0.936979028,False,Gait_speed,native,,10.0,False,False,0.21213203435596426
472,134,peurala2005,peurala,2005,ctrl,301,overground walking + CPT,http://www.ncbi.nlm.nih.gov/pubmed/16084808,finland,,kuopio,20.4,20.4,20.4,3.0,21.0,,52.3,6.8,1460.0,>1year,4.0,1,,,,,,,4.13,,,,,,,,,,,,,,,,0.0,10mwt MAX,le,,speed,lohse,0.0,0.0,15,39.5,25.5,,15.0,32.1,15.9,,,14.0,,,0.5,-7.4,21.24923528,,25.5,0.348247826,,0.945454545,0.32925249,,0.070709218,,0.06320586,,,sign reversed for time measure,Overground / gait training,1.0,False,False,7,3,False,0.32925249,False,Gait_speed,time,,10.0,False,False,21.249235280357738
473,134,peurala2005,peurala,2005,exp,302,BWS gait training + CPT,http://www.ncbi.nlm.nih.gov/pubmed/16084808,finland,,kuopio,20.4,20.4,20.4,3.0,21.0,,51.2,7.9,876.0,>1year,2.4,1,,,,,,,4,,,,,,,,,,,,,,,,0.0,10mwt MAX,le,,speed,lohse,0.0,0.0,15,39.6,35.4,,15.0,30.3,23.6,,,14.0,,,0.5,-9.3,30.08421513,,35.4,0.309132213,,0.945454545,0.292270456,,0.069852091,,0.062439687,,,sign reversed for time measure,Overground / gait training,1.0,False,False,7,3,False,0.292270456,False,Gait_speed,time,,10.0,False,False,30.08421513019743
474,134,peurala2005,peurala,2005,exp,303,BWS gait training with stimulation + CPT,http://www.ncbi.nlm.nih.gov/pubmed/16084808,finland,,kuopio,20.4,20.4,20.4,3.0,21.0,,53.3,8.9,949.0,>1year,2.6,1,,,,,,,4.1,,,,,,,,,,,,,,,,0.0,10mwt MAX,le,,speed,lohse,0.0,0.0,15,44.0,36.2,,15.0,35.9,29.9,,,15.0,,,0.5,-8.1,33.1997741,,36.2,0.243977564,,0.945454545,0.230669697,,0.068650835,,0.061365903,,,sign reversed for time measure,FES / e-stim,1.0,False,False,7,3,False,0.230669697,False,Gait_speed,time,,10.0,False,False,33.19977409561698
478,135,piron2007,piron,2007,ctrl,304,CPT,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=4362151&tag=1,italy,,venice,30.0,30.0,30.0,1.0,42.0,,61.2,6.6,78.0,<90days,0.21369863,1,,,,,,,,,,,,,,,,,,,,,,,,fim,,,,lohse,1.0,0.0,13,88.2,30.0,,13.0,95.9,28.3,,,,,,0.5,7.7,29.16239016,,30.0,0.264038714,,0.936170213,0.247185179,,0.079604479,,0.069766533,,,,Conventional / standard,1.0,False,False,7,2,False,0.247185179,False,FIM_Total,native,,,False,False,29.162390162673564
479,135,piron2007,piron,2007,exp,305,reinforcing practice in a virtual environment + CPT,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=4362151&tag=1,italy,,venice,30.0,30.0,30.0,1.0,42.0,,61.5,9.4,75.0,<90days,0.205479452,1,,,,,,,,,,,,,,,,,,,,,,,,fim,,,,lohse,1.0,0.0,25,93.4,28.6,,15.0,110.2,13.9,,,,,,0.5,16.8,24.24435908,,28.6,0.692944695,,0.968421053,0.671062231,,0.049603447,,0.046520064,,,,Conventional / standard,1.0,False,False,7,2,False,0.671062231,False,FIM_Total,native,,,False,False,22.48521736608299
492,140,pohl2002,pohl,2002,ctrl,316,conventional gait training,http://www.ncbi.nlm.nih.gov/pubmed/11823669,germany,,kreischa,15.0,15.0,15.0,1.0,28.0,,61.6,8.100000000000001,112.7,<1year,0.308767123,1,,<26,,,,,>3,,,,,,,,,,0.1,,,,,,0.0,10mwt SSV,le,,speed,lohse,0.0,0.0,20,0.66,0.42,,20.0,0.97,0.64,,,20.0,,,0.5,0.31,0.541294744,,0.42,0.572700924,,0.96,0.549792887,,0.058199659,,0.053636805,,,,Overground / gait training,1.0,False,False,7,3,False,0.549792887,False,Gait_speed,native,,10.0,True,False,0.5412947441089743
493,140,pohl2002,pohl,2002,exp,317,structured speed dependent treadmill training,http://www.ncbi.nlm.nih.gov/pubmed/11823669,germany,,kreischa,12.0,12.0,12.0,1.0,28.0,,58.2,10.125,113.4,<1year,0.310684932,1,,<26,,,,,>3,,,,,,,,,,0.3,,,,,,0.0,10mwt SSV,le,,speed,lohse,0.0,0.0,20,0.61,0.32,,20.0,1.63,0.8,,,20.0,,,0.5,1.02,0.609261848,,0.32,1.674157019,,0.96,1.607190738,,0.120070043,,0.110656552,,,,Treadmill / BWSTT,1.0,False,False,7,3,False,1.607190738,False,Gait_speed,native,,10.0,True,False,0.6092618484691127
494,140,pohl2002,pohl,2002,exp,318,limited progressive treadmill training,http://www.ncbi.nlm.nih.gov/pubmed/11823669,germany,,kreischa,12.0,12.0,12.0,1.0,28.0,,57.1,10.125,117.6,<1year,0.322191781,1,,<26,,,,,>3,,,,,,,,,,0.1,,,,,,0.0,10mwt SSV,le,,speed,lohse,0.0,0.0,20,0.66,0.39,,20.0,1.22,0.74,,,20.0,,,0.5,0.56,0.591481192,,0.39,0.946775668,,0.96,0.908904641,,0.072409604,,0.066732691,,,,Treadmill / BWSTT,1.0,False,False,7,3,False,0.908904641,False,Gait_speed,native,,10.0,True,False,0.5914811915860047
495,141,pohl2007,pohl,2007,ctrl,319,physiotherapy every week day,http://www.ncbi.nlm.nih.gov/pubmed/17213237,germany,,berlin,11.3,11.3,11.3,4.0,28.0,208.0,64.0,11.6,31.5,<90days,0.08630137,1,,,,,,,1.19,36.8,,,,,,,,,,,,,,,6.0,fac,le,,,lohse,1.0,1.0,78,1.2,1.1,,72.0,2.1,1.5,,,64.0,2.6,1.8,0.5,0.9,1.307256256,1.4,1.457223387,0.688464864,0.960731218,0.990228013,0.681737194,0.951342965,0.015858871,0.018737208,0.01555044,0.018372798,,,Other / unclassified,1.0,False,False,7,3,False,0.681737194,False,Gait_FAC,native,,,False,False,1.3152946437965904
496,141,pohl2007,pohl,2007,exp,320,mixed pure locomotor training with physiotherapy,http://www.ncbi.nlm.nih.gov/pubmed/17213237,germany,,berlin,13.5,13.5,13.5,4.0,28.0,208.0,62.3,12.0,29.4,<90days,0.080547945,1,,,,,,,0.99,37.9,,,,,,,,,,,,,,,5.0,fac,le,,,lohse,1.0,1.0,77,0.99,0.88,,72.0,3.2,1.4,,,64.0,3.8,1.7,0.5,2.21,1.160619117,2.81,1.316536769,1.904156125,2.134387786,0.99009901,1.885303094,2.113255234,0.036531237,0.042568904,0.035811428,0.041730128,,,Overground / gait training,1.0,False,False,7,3,False,1.885303094,False,Gait_FAC,native,,,False,False,1.1692732785794773
517,145,ribeiro2013,ribeiro,2013,exp,330,"PNF therapy, no other gait therapies given",http://www.ncbi.nlm.nih.gov/pubmed/23172402,brasil,,natal,6.0,6.0,6.0,1.0,28.0,,58.33,8.94,593.1,>1year,1.624931507,1,6.44,,,68,,,3.22,,,,,,,,,,,1.33,,,,,2.0,10mwt,le,,speed,USU,0.0,0.0,9,0.4,0.1,0.0,9.0,0.4,0.1,,,,,,0.5,0.0,0.1,,0.1,0.0,,0.903225806,0.0,,0.111111111,,0.090646317,,,,Other / unclassified,1.0,False,False,7,3,False,0.0,False,Gait_speed,native,,10.0,False,False,0.1
